[07-11 15:17][root][INFO]	Namespace(action_size=6, actor_hiddens=[400, 300], actor_lr=0.0001, actor_wd=1e-09, agent='ddpg', batchnorm=False, buffer_size=100000.0, checkpoint=None, checkpoint_interval=500, critic_feat_hiddens=[], critic_feat_size=400, critic_lr=0.001, critic_mlp_hiddens=[300], critic_wd=0.01, discount_factor=0.99, env_kwargs={}, env_name='Walker2d-v4', max_episode_steps=10000, noise_mu=0, noise_sigma=0.2, noise_theta=0.15, num_episodes=15000, num_test_episodes=10, observation_size=17, observation_type='linear', ready_size=4096, render=False, sample_size=256, soft_update=0.001, update_every=4)
[07-11 15:17][rlc.engine][INFO]	Episode 10:   -5.21 (mean:    1.95) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 20:   16.15 (mean:    4.55) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 30:   11.09 (mean:    4.88) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 40:    6.48 (mean:    2.94) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 50:   -2.41 (mean:    1.40) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 60:   -3.01 (mean:    2.31) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 70:   11.92 (mean:    2.95) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 80:    8.64 (mean:    4.07) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 90:   -2.26 (mean:   -0.05) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 100:    3.53 (mean:    2.26) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 110:    2.13 (mean:    1.31) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 120:    3.54 (mean:    3.43) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 130:   14.42 (mean:    7.12) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 140:   12.00 (mean:    5.56) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 150:    3.77 (mean:    1.36) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 160:    3.38 (mean:    5.64) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 170:   -3.03 (mean:   -0.03) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 180:   -4.25 (mean:   -1.00) [steps 0]
[07-11 15:17][rlc.engine][INFO]	Episode 190:    0.68 (mean:    0.89) [steps 0]
[07-11 15:18][rlc.engine][INFO]	Episode 200:   93.93 (mean:   78.63) [steps 217]
[07-11 15:18][rlc.engine][INFO]	Episode 210:   -7.25 (mean:   71.31) [steps 633]
[07-11 15:18][rlc.engine][INFO]	Episode 220:   -8.77 (mean:   -4.94) [steps 810]
[07-11 15:18][rlc.engine][INFO]	Episode 230:   -6.79 (mean:  -10.08) [steps 984]
[07-11 15:18][rlc.engine][INFO]	Episode 240:   -6.14 (mean:   -6.96) [steps 1154]
[07-11 15:18][rlc.engine][INFO]	Episode 250:   -4.46 (mean:   -7.49) [steps 1326]
[07-11 15:18][rlc.engine][INFO]	Episode 260:   -5.48 (mean:   -7.12) [steps 1496]
[07-11 15:18][rlc.engine][INFO]	Episode 270:   -8.20 (mean:   -8.13) [steps 1668]
[07-11 15:18][rlc.engine][INFO]	Episode 280:  299.89 (mean:  109.39) [steps 2090]
[07-11 15:18][rlc.engine][INFO]	Episode 290:  179.88 (mean:  228.99) [steps 2707]
[07-11 15:18][rlc.engine][INFO]	Episode 300:   50.02 (mean:  139.03) [steps 3233]
[07-11 15:18][rlc.engine][INFO]	Episode 310:   60.34 (mean:  176.71) [steps 3813]
[07-11 15:19][rlc.engine][INFO]	Episode 320:   70.86 (mean:   92.87) [steps 4330]
[07-11 15:19][rlc.engine][INFO]	Episode 330:   90.38 (mean:   92.08) [steps 4856]
[07-11 15:19][rlc.engine][INFO]	Episode 340:   69.95 (mean:  107.82) [steps 5437]
[07-11 15:19][rlc.engine][INFO]	Episode 350:  375.68 (mean:  232.20) [steps 6027]
[07-11 15:19][rlc.engine][INFO]	Episode 360:  341.47 (mean:  154.53) [steps 6552]
[07-11 15:19][rlc.engine][INFO]	Episode 370:  112.51 (mean:   99.93) [steps 7080]
[07-11 15:19][rlc.engine][INFO]	Episode 380:  120.53 (mean:  104.27) [steps 7619]
[07-11 15:20][rlc.engine][INFO]	Episode 390:   68.39 (mean:  106.91) [steps 8193]
[07-11 15:20][rlc.engine][INFO]	Episode 400:  182.71 (mean:  126.00) [steps 8736]
[07-11 15:20][rlc.engine][INFO]	Episode 410:   91.15 (mean:  100.67) [steps 9281]
