[07-11 22:34][root][INFO]	Namespace(action_size=6, actor_hiddens=[400, 300], actor_lr=0.0001, actor_wd=1e-09, agent='ddpg_dc', batchnorm=False, buffer_size=100000.0, checkpoint=None, checkpoint_interval=500, critic_feat_hiddens=[], critic_feat_size=400, critic_lr=0.001, critic_mlp_hiddens=[300], critic_wd=0.01, discount_factor=0.99, env_kwargs={}, env_name='Walker2d-v4', max_episode_steps=10000, noise_mu=0, noise_sigma=0.2, noise_theta=0.15, num_episodes=15000, num_test_episodes=10, observation_size=17, observation_type='linear', ready_size=4096, render=False, sample_size=256, soft_update=0.001, update_every=4)
[07-11 22:34][rlc.engine][INFO]	Episode 10:    0.16 (mean:    2.37) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 20:   -1.33 (mean:    4.05) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 30:    2.14 (mean:    2.72) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 40:    3.50 (mean:    1.90) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 50:    0.47 (mean:    0.54) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 60:    5.75 (mean:    4.20) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 70:    5.30 (mean:    2.21) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 80:   -8.51 (mean:    0.95) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 90:    8.12 (mean:    2.45) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 100:   -4.32 (mean:    1.95) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 110:    0.14 (mean:   -0.37) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 120:   -6.23 (mean:   -0.94) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 130:   -1.30 (mean:    1.05) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 140:    3.03 (mean:    2.93) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 150:   -0.61 (mean:    0.85) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 160:   -2.62 (mean:    1.48) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 170:   -0.41 (mean:    4.56) [steps 0]
