[07-11 22:34][root][INFO]	Namespace(action_size=6, actor_feat_size=256, actor_hiddens=[256], actor_lr=0.0003, actor_wd=1e-09, agent='sac', buffer_size=100000.0, checkpoint=None, checkpoint_interval=500, critic_feat_hiddens=[], critic_feat_size=256, critic_lr=0.0003, critic_mlp_hiddens=[256], critic_wd=1e-09, discount_factor=0.99, env_kwargs={}, env_name='Walker2d-v4', max_episode_steps=10000, num_episodes=15000, num_test_episodes=10, observation_size=17, observation_type='linear', ready_size=4096, render=False, sample_size=256, soft_update=0.005, temperature=0.5, update_every=4)
[07-11 22:34][rlc.engine][INFO]	Episode 10:   -1.51 (mean:    1.29) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 20:    0.37 (mean:    2.91) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 30:    2.37 (mean:    3.12) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 40:    6.98 (mean:    3.32) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 50:    3.93 (mean:    3.61) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 60:    7.74 (mean:    3.76) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 70:    6.55 (mean:    3.88) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 80:    3.31 (mean:    2.63) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 90:   -4.03 (mean:    0.14) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 100:   -5.36 (mean:    0.61) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 110:   10.10 (mean:    3.54) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 120:   12.25 (mean:    2.78) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 130:   10.60 (mean:    3.32) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 140:    5.57 (mean:    5.66) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 150:   18.05 (mean:    7.76) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 160:    0.99 (mean:    3.79) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 170:   -3.73 (mean:    1.13) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 180:    2.37 (mean:    0.93) [steps 0]
[07-11 22:34][rlc.engine][INFO]	Episode 190:    3.10 (mean:    3.43) [steps 0]
[07-11 22:35][rlc.engine][INFO]	Episode 200:   -4.63 (mean:    0.20) [steps 46]
[07-11 22:35][rlc.engine][INFO]	Episode 210:    4.84 (mean:    4.52) [steps 111]
[07-11 22:35][rlc.engine][INFO]	Episode 220:   -1.57 (mean:    8.32) [steps 183]
[07-11 22:35][rlc.engine][INFO]	Episode 230:    8.58 (mean:   18.79) [steps 289]
[07-11 22:35][rlc.engine][INFO]	Episode 240:    1.10 (mean:   17.76) [steps 414]
[07-11 22:35][rlc.engine][INFO]	Episode 250:   28.72 (mean:   21.68) [steps 671]
[07-11 22:35][rlc.engine][INFO]	Episode 260:   48.95 (mean:   66.58) [steps 1091]
[07-11 22:35][rlc.engine][INFO]	Episode 270:  238.46 (mean:  165.00) [steps 1565]
[07-11 22:35][rlc.engine][INFO]	Episode 280:  523.74 (mean:  265.72) [steps 2169]
[07-11 22:36][rlc.engine][INFO]	Episode 290:  291.59 (mean:  276.80) [steps 2663]
[07-11 22:36][rlc.engine][INFO]	Episode 300:   42.90 (mean:  215.39) [steps 3199]
[07-11 22:36][rlc.engine][INFO]	Episode 310:  381.32 (mean:  284.09) [steps 3865]
[07-11 22:36][rlc.engine][INFO]	Episode 320:  219.78 (mean:  252.88) [steps 4510]
[07-11 22:36][rlc.engine][INFO]	Episode 330:  296.76 (mean:  248.35) [steps 4992]
[07-11 22:37][rlc.engine][INFO]	Episode 340:  337.79 (mean:  387.28) [steps 5728]
[07-11 22:37][rlc.engine][INFO]	Episode 350:  375.73 (mean:  344.44) [steps 6461]
[07-11 22:37][rlc.engine][INFO]	Episode 360:   89.84 (mean:  303.46) [steps 7081]
[07-11 22:38][rlc.engine][INFO]	Episode 370:  305.72 (mean:  417.12) [steps 7959]
[07-11 22:38][rlc.engine][INFO]	Episode 380:  415.93 (mean:  386.47) [steps 8499]
[07-11 22:38][rlc.engine][INFO]	Episode 390:  955.64 (mean:  441.85) [steps 9260]
[07-11 22:38][rlc.engine][INFO]	Episode 400:  459.21 (mean:  299.27) [steps 9912]
[07-11 22:39][rlc.engine][INFO]	Episode 410:  552.45 (mean:  380.55) [steps 10656]
[07-11 22:39][rlc.engine][INFO]	Episode 420:  596.41 (mean:  515.27) [steps 11568]
[07-11 22:39][rlc.engine][INFO]	Episode 430:  660.72 (mean:  500.07) [steps 12408]
[07-11 22:40][rlc.engine][INFO]	Episode 440:  168.98 (mean:  275.51) [steps 13089]
[07-11 22:40][rlc.engine][INFO]	Episode 450:   57.62 (mean:  297.71) [steps 13614]
[07-11 22:40][rlc.engine][INFO]	Episode 460:  293.41 (mean:  307.62) [steps 14228]
[07-11 22:40][rlc.engine][INFO]	Episode 470:  350.92 (mean:  359.67) [steps 14883]
[07-11 22:41][rlc.engine][INFO]	Episode 480:  262.88 (mean:  322.65) [steps 15444]
[07-11 22:41][rlc.engine][INFO]	Episode 490:  276.54 (mean:  411.32) [steps 16260]
[07-11 22:41][rlc.engine][INFO]	Episode 500:  237.21 (mean:  395.15) [steps 16945]
[07-11 22:41][rlc.engine][INFO]	Episode 0:  396.18
[07-11 22:41][rlc.engine][INFO]	Episode 1:  379.19
[07-11 22:41][rlc.engine][INFO]	Episode 2:  372.09
[07-11 22:41][rlc.engine][INFO]	Episode 3:  395.60
[07-11 22:41][rlc.engine][INFO]	Episode 4:  378.22
[07-11 22:41][rlc.engine][INFO]	Episode 5:  390.62
[07-11 22:41][rlc.engine][INFO]	Episode 6:  374.18
[07-11 22:41][rlc.engine][INFO]	Episode 7:  382.87
[07-11 22:41][rlc.engine][INFO]	Episode 8:  383.42
[07-11 22:41][rlc.engine][INFO]	Episode 9:  388.84
[07-11 22:41][rlc.engine][INFO]	Test 500: 384.12
[07-11 22:42][rlc.engine][INFO]	Episode 510:  535.15 (mean:  339.65) [steps 17535]
[07-11 22:42][rlc.engine][INFO]	Episode 520:  416.12 (mean:  367.93) [steps 18168]
[07-11 22:42][rlc.engine][INFO]	Episode 530:  470.12 (mean:  405.37) [steps 18783]
[07-11 22:43][rlc.engine][INFO]	Episode 540:  587.18 (mean:  502.78) [steps 19587]
[07-11 22:43][rlc.engine][INFO]	Episode 550:  384.39 (mean:  399.61) [steps 20145]
[07-11 22:43][rlc.engine][INFO]	Episode 560:  387.03 (mean:  519.42) [steps 20930]
[07-11 22:43][rlc.engine][INFO]	Episode 570:  495.33 (mean:  292.68) [steps 21526]
[07-11 22:44][rlc.engine][INFO]	Episode 580:  512.00 (mean:  499.70) [steps 22305]
[07-11 22:44][rlc.engine][INFO]	Episode 590:   65.86 (mean:  360.64) [steps 22953]
[07-11 22:44][rlc.engine][INFO]	Episode 600:  408.48 (mean:  418.02) [steps 23566]
[07-11 22:45][rlc.engine][INFO]	Episode 610:  367.31 (mean:  423.16) [steps 24274]
[07-11 22:45][rlc.engine][INFO]	Episode 620:  504.89 (mean:  451.66) [steps 24911]
[07-11 22:45][rlc.engine][INFO]	Episode 630:  463.66 (mean:  439.05) [steps 25559]
[07-11 22:45][rlc.engine][INFO]	Episode 640:   88.64 (mean:  351.92) [steps 26155]
[07-11 22:46][rlc.engine][INFO]	Episode 650:  414.14 (mean:  447.99) [steps 26834]
[07-11 22:46][rlc.engine][INFO]	Episode 660:  592.91 (mean:  457.13) [steps 27528]
[07-11 22:46][rlc.engine][INFO]	Episode 670:  630.40 (mean:  424.59) [steps 28171]
[07-11 22:46][rlc.engine][INFO]	Episode 680:  104.10 (mean:  348.21) [steps 28808]
[07-11 22:47][rlc.engine][INFO]	Episode 690:  437.61 (mean:  350.39) [steps 29467]
[07-11 22:47][rlc.engine][INFO]	Episode 700:  407.22 (mean:  389.68) [steps 30036]
[07-11 22:47][rlc.engine][INFO]	Episode 710:  571.15 (mean:  465.66) [steps 30812]
[07-11 22:48][rlc.engine][INFO]	Episode 720:  356.51 (mean:  401.02) [steps 31372]
[07-11 22:48][rlc.engine][INFO]	Episode 730:  436.48 (mean:  513.07) [steps 32224]
[07-11 22:48][rlc.engine][INFO]	Episode 740:  429.34 (mean:  411.94) [steps 32814]
[07-11 22:49][rlc.engine][INFO]	Episode 750:  378.92 (mean:  410.99) [steps 33444]
[07-11 22:49][rlc.engine][INFO]	Episode 760:  452.89 (mean:  458.04) [steps 34260]
[07-11 22:49][rlc.engine][INFO]	Episode 770:  487.61 (mean:  452.32) [steps 35060]
[07-11 22:50][rlc.engine][INFO]	Episode 780:  375.63 (mean:  408.05) [steps 35684]
[07-11 22:50][rlc.engine][INFO]	Episode 790:  463.68 (mean:  392.70) [steps 36271]
[07-11 22:50][rlc.engine][INFO]	Episode 800:  397.64 (mean:  498.37) [steps 37205]
[07-11 22:50][rlc.engine][INFO]	Episode 810:  421.13 (mean:  459.00) [steps 37883]
[07-11 22:51][rlc.engine][INFO]	Episode 820:  507.94 (mean:  414.43) [steps 38529]
[07-11 22:51][rlc.engine][INFO]	Episode 830:  502.57 (mean:  467.36) [steps 39373]
[07-11 22:52][rlc.engine][INFO]	Episode 840:  473.17 (mean:  464.29) [steps 40197]
[07-11 22:52][rlc.engine][INFO]	Episode 850:  429.65 (mean:  376.61) [steps 40736]
[07-11 22:52][rlc.engine][INFO]	Episode 860:  632.28 (mean:  422.54) [steps 41433]
[07-11 22:52][rlc.engine][INFO]	Episode 870:  349.42 (mean:  490.66) [steps 42207]
[07-11 22:53][rlc.engine][INFO]	Episode 880:  417.15 (mean:  378.38) [steps 42824]
[07-11 22:53][rlc.engine][INFO]	Episode 890:  372.55 (mean:  392.00) [steps 43521]
[07-11 22:53][rlc.engine][INFO]	Episode 900:  418.96 (mean:  382.59) [steps 44116]
[07-11 22:53][rlc.engine][INFO]	Episode 910:  342.21 (mean:  372.67) [steps 44712]
[07-11 22:54][rlc.engine][INFO]	Episode 920:  344.50 (mean:  404.95) [steps 45426]
[07-11 22:54][rlc.engine][INFO]	Episode 930:  360.21 (mean:  449.65) [steps 46201]
[07-11 22:54][rlc.engine][INFO]	Episode 940:  392.68 (mean:  364.46) [steps 46799]
[07-11 22:55][rlc.engine][INFO]	Episode 950:  359.90 (mean:  387.55) [steps 47479]
[07-11 22:55][rlc.engine][INFO]	Episode 960:  340.35 (mean:  376.36) [steps 48123]
[07-11 22:55][rlc.engine][INFO]	Episode 970:  415.41 (mean:  421.14) [steps 48797]
[07-11 22:55][rlc.engine][INFO]	Episode 980:  383.73 (mean:  412.70) [steps 49434]
[07-11 22:56][rlc.engine][INFO]	Episode 990:  337.75 (mean:  408.25) [steps 50121]
[07-11 22:56][rlc.engine][INFO]	Episode 1000:  469.55 (mean:  428.76) [steps 50811]
[07-11 22:56][rlc.engine][INFO]	Episode 0:  460.65
[07-11 22:56][rlc.engine][INFO]	Episode 1:  460.02
[07-11 22:56][rlc.engine][INFO]	Episode 2:  474.11
[07-11 22:56][rlc.engine][INFO]	Episode 3:  491.29
[07-11 22:56][rlc.engine][INFO]	Episode 4:  478.41
[07-11 22:56][rlc.engine][INFO]	Episode 5:  481.08
[07-11 22:56][rlc.engine][INFO]	Episode 6:  467.57
[07-11 22:56][rlc.engine][INFO]	Episode 7:  464.81
[07-11 22:56][rlc.engine][INFO]	Episode 8:  461.37
[07-11 22:56][rlc.engine][INFO]	Episode 9:  476.48
[07-11 22:56][rlc.engine][INFO]	Test 1000: 471.58
[07-11 22:56][rlc.engine][INFO]	Episode 1010:  479.69 (mean:  439.54) [steps 51714]
[07-11 22:57][rlc.engine][INFO]	Episode 1020:  482.28 (mean:  441.53) [steps 52459]
[07-11 22:57][rlc.engine][INFO]	Episode 1030:  338.14 (mean:  381.06) [steps 53056]
[07-11 22:57][rlc.engine][INFO]	Episode 1040:  466.22 (mean:  415.88) [steps 53762]
[07-11 22:58][rlc.engine][INFO]	Episode 1050:  477.94 (mean:  474.32) [steps 54583]
